Name,Countries,Stage,Type,Cheque_min,Cheque_max,Industry
01 Ventures,"United Kingdom,Netherlands","pre-seed, idea, prototype/mvp, seed",VC,250000,2000000,IT
1 4 All Group,"DRC Congo,Ethiopia,Kenya,South Africa,Brazil,Chile,Mexico,United States,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Malaysia,South Korea,Thailand,France,Germany,Italy,Poland,Romania,Spain,United Kingdom,Egypt,Saudi Arabia,Turkey,United Arab Emirates","pre-seed, seed, series+",Family office,100000,14000000,"Energy, IoT, IT, Healthcare, Consumer, Fintech, Media"
10D,Israel,"pre-seed, idea, prototype/mvp, seed",VC,500000,5000000,IT
10K Ventures,"Kenya,Nigeria,Brazil,Colombia,Mexico,India,Indonesia,Philippines,Singapore,Vietnam,France,Germany,Spain,United Kingdom,Egypt,Israel,United Arab Emirates","pre-seed, idea, prototype/mvp, seed",Family office,100000,200000,Sector Agnostic
10x Founders,"Germany,Austria,Switzerland,France,United Kingdom,Poland,Czech Republic,Spain,Portugal,Italy,Norway,Sweden,Finland,Denmark,United States","pre-seed, idea, prototype/mvp, seed",VC,100000,3000000,IT
11 Tribes Ventures,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,100000,300000,Sector Agnostic
1337 Ventures,"Malaysia,Vietnam,Philippines,Thailand","pre-seed, idea, prototype/mvp, seed, series+",VC,2000,50000,Sector Agnostic
13o3,"Bahrain,Australia,Austria,Belgium,Benin,Brazil,Canada,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hong Kong,United States,United Kingdom,Ukraine,United Arab Emirates,Switzerland,Sweden,Turkey,Spain,Saudi Arabia","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",PE fund,200000,1000000,"Energy, IoT, IT, Media, Fintech"
1Sharpe Ventures,"United States,Canada,Mexico,Brazil,United Kingdom,France,Ireland,Germany","pre-seed, idea, prototype/mvp, seed",VC,500000,2000000,Fintech
1Stock Venture Capital Fund,"Kenya,Nigeria,Rwanda,South Africa,Uganda","pre-seed, pre-ipo, seed, series+",VC,300000,2000000,IT
2|Twelve,United States,"pre-seed, idea, prototype/mvp, seed",VC,100000,300000,"IT, Fintech"
2048 Ventures,"United States,Canada","pre-seed, idea, prototype/mvp, seed",VC,300000,600000,IT
212,"Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,United Arab Emirates,Ukraine,Turkmenistan,Poland,Qatar,Hungary","pre-seed, series+",VC,1000000,5000000,IT
212Founders,Morocco,"pre-seed, idea, prototype/mvp, seed","Incubator, Accelerator",100000,1000000,Sector Agnostic
27V (Twenty Seven Ventures),"United States,Canada,United Kingdom,Hong Kong,Taiwan,New Zealand","pre-seed, idea, prototype/mvp, seed",VC,25000,250000,Edtech
30N Ventures,"Kenya,Nigeria,South Africa,Brazil,Chile,Colombia,Mexico,Peru,India,Indonesia,Singapore,Thailand,Vietnam,Egypt,Morocco","pre-seed, seed, series+",VC,300000,5000000,"Consumer, Fintech"
34 Elements Academy,France,"pre-seed, idea, prototype/mvp, seed, series+","Incubator, Accelerator",0,0,Other
365.fintech,"Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,United Kingdom,Germany,Belgium,Netherlands,Austria","pre-seed, seed, series+",VC,50000,500000,Fintech
3CC Third Culture Capital,"United States,France,Canada,Vietnam","pre-seed, idea, prototype/mvp, seed, series+",VC,250000,2000000,Sector Agnostic
3TS Capital Partners,"Finland,Poland,Bulgaria,Luxembourg,Austria,Turkey,Czech Republic,Slovakia,Hungary","pre-seed, seed, series+",VC,250000,12000000,IT
3VC,"Austria,Bulgaria,Croatia,Czech Republic,Estonia,Germany,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Switzerland,Ukraine","pre-seed, seed, series+",VC,1000000,5000000,Other
42CAP,"Germany,France,Spain,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Greece,Georgia,Finland,Estonia,Denmark,Hungary,Iceland,Ireland,Italy,Liechtenstein,Luxembourg,Latvia,Lithuania,Malta,Monaco,Bosnia-H,Ukraine,United Kingdom,Switzerland,Sweden,Portugal,Netherlands,Poland,Serbia,Norway,Romania,Slovenia,Slovakia,Turkey","pre-seed, idea, prototype/mvp, seed",VC,500000,2000000,IT
4F Ventures,"United States,Canada","pre-seed, idea, prototype/mvp, seed, series+",VC,50000,250000,Fintech
4impact,"Netherlands,Germany,Switzerland,Austria,Sweden,Denmark,Norway,Finland,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,500000,3000000,IT
574 Invest by SNCF,France,"pre-seed, seed, series+",Corporate VC,500000,5000000,Other
645 Ventures,"United States,Canada,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",VC,750000,6000000,"IT, Consumer"
70V,"Lithuania,Latvia,Estonia,Finland,Denmark,Sweden","pre-seed, idea, prototype/mvp, seed, series+",VC,50000,300000,IT
7percent Ventures,"United States,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Ukraine","pre-seed, idea, prototype/mvp, seed",VC,100000,2000000,Sector Agnostic
9Unicorns,India,"pre-seed, idea, prototype/mvp, seed, series+",VC,100000,2000000,Other
A2D Ventures,"Singapore,Thailand,Vietnam,Philippines,Indonesia,Malaysia","pre-seed, seed, series+",Other,100000,500000,Sector Agnostic
Abdelmuhaimen Madi,"Canada,United States,Belgium,Czech Republic,Estonia,Finland,Italy,Malta,United Kingdom,Ukraine,Algeria,Bahrain,Egypt,Jordan,Kuwait,Lybia,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Tunisia,Turkey,United Arab Emirates","pre-seed, idea, prototype/mvp, seed, series+",Solo angel,5000,100000,Other
Abraseed-1,"Algeria,Egypt,Israel,Jordan,Kuwait,Morocco,Qatar,Saudi Arabia,Tunisia,Turkey","pre-seed, idea, prototype/mvp, seed, series+",VC,50000,300000,"IT, Edtech"
Abstraction Capital,United States,"pre-seed, idea, prototype/mvp, seed",VC,50000,400000,Other
